,discriminator_cos_approach,discriminator_hidden_size,discriminator_l1_approach,discriminator_l2_approach,mean_min,sem,median
14,full,16,merge,none,0.301196750998497,0.057275985815841333,0.26357483863830566
32,merge,16,merge,none,0.38544140458106996,0.08633741998100831,0.38956207036972046
43,none,0,none,merge,0.49949595928192136,0.0002760722947495841,0.4994959533214569
26,merge,0,none,none,0.5183240473270416,0.0010342895984649656,0.5183240473270416
16,full,16,none,merge,0.51996408700943,0.048414148386457065,0.5641348361968994
50,none,16,merge,none,0.5483893752098083,0.03929325150756092,0.5574532747268677
52,none,16,none,merge,0.5602760791778565,0.04795333738258598,0.5476418733596802
34,merge,16,none,merge,0.5826035916805268,0.06029087245461378,0.6427019834518433
35,merge,16,none,none,0.7006521105766297,0.07363584288801099,0.7720344066619873
8,full,0,none,none,0.7014239728450775,0.013954371213912964,0.7014239728450775
23,merge,0,merge,none,0.7061669155955315,0.12028612583027376,0.7012252658605576
31,merge,16,merge,merge,0.7311358451843262,0.03980499410422401,0.7418750524520874
22,merge,0,merge,merge,0.7621041595935821,0.10719576733565866,0.9215349555015564
13,full,16,merge,merge,0.7869442462921142,0.00961989179842349,0.7988440990447998
41,none,0,merge,none,0.822922982275486,0.10801807921591618,0.9276893734931946
49,none,16,merge,merge,0.8316202044487,0.052156186125532356,0.8769264221191406
25,merge,0,none,merge,0.8501931726932526,0.0882166635083355,0.9349347352981567
17,full,16,none,none,0.8698287844657898,0.012040300541488526,0.8742960691452026
7,full,0,none,merge,0.9172471165657043,0.007168591022491454,0.9172471165657043
4,full,0,merge,merge,0.9389162212610245,0.000791985664022518,0.9388465583324432
5,full,0,merge,none,0.9395360946655273,,0.9395360946655273
40,none,0,merge,merge,0.9431474924087524,0.0027688945858305824,0.9416898488998413
3,full,0,merge,full,0.9479735255241394,0.0010317935762671959,0.946861743927002
6,full,0,none,full,0.9495721936225892,0.001759782902361918,0.9491429924964905
39,none,0,merge,full,0.9500485539436341,0.0018085221196504704,0.951288640499115
42,none,0,none,full,0.9502521276473999,0.001712921782728183,0.9509497880935669
0,full,0,full,full,0.9503141283988953,0.0017041136671837414,0.9500643610954285
36,none,0,full,full,0.9515411615371704,0.001974720728620473,0.9510051012039185
24,merge,0,none,full,0.9516284346580506,0.0013858906183426014,0.9527978301048279
21,merge,0,merge,full,0.9522768974304199,0.001452609603998894,0.9536914825439453
18,merge,0,full,full,0.9528790354728699,0.0012876520881353764,0.9524956345558167
38,none,0,full,none,0.9533970594406128,0.001830719185601869,0.9522722959518433
19,merge,0,full,merge,0.9534665107727051,0.000688762145088308,0.953658938407898
12,full,16,merge,full,0.9537541717290878,0.0021860389589013506,0.954553872346878
20,merge,0,full,none,0.9546904802322388,0.001195328171043434,0.9532772302627563
2,full,0,full,none,0.9548192739486694,0.00212638592545695,0.9547905325889587
37,none,0,full,merge,0.9559378176927567,0.0011794341704413013,0.9563466310501099
30,merge,16,merge,full,0.9559481859207153,0.0013212844821709321,0.9561831951141357
1,full,0,full,merge,0.9559755325317383,0.0008950233459472655,0.9559755325317383
10,full,16,full,merge,0.9560134261846542,0.0015684442006662965,0.9556339979171753
48,none,16,merge,full,0.9567248106002808,0.001493191763523824,0.958691418170929
27,merge,16,full,full,0.9567858099937439,0.0018667905994042245,0.957736611366272
15,full,16,none,full,0.956856644153595,0.0007933165403538186,0.9564769864082336
46,none,16,full,merge,0.9569237470626831,0.0026403255353216588,0.958061695098877
9,full,16,full,full,0.9574541568756103,0.0011784135143503745,0.9576325416564941
33,merge,16,none,full,0.9580302953720092,0.001331979143861132,0.9582880735397339
28,merge,16,full,merge,0.9587629556655883,0.0016105971912254602,0.9587119817733765
29,merge,16,full,none,0.9594352722167969,0.001657199650919691,0.9593570828437805
11,full,16,full,none,0.9595334649085998,0.0004922559753107784,0.959527850151062
45,none,16,full,full,0.9597904086112976,0.0006366959040110659,0.9596052169799805
51,none,16,none,full,0.959990993142128,0.0005335821951133968,0.9596982598304749
47,none,16,full,none,0.9614539623260498,0.0015118402451323436,0.9615453481674194
